Stkcd,other_receivables,fix_assets_net,intangible_assets_net,ttl_assets,ttl_current_assets,net_assets,total_liab,current_liab,year,retained_earnings
000001,0,3536443000,5878379000,1606536760000,0,84798775000,1521737985000,0,2012,25907174000
000001,0,3694000000,5463000000,1891741000000,0,112081000000,1779660000000,0,2013,34317000000
000001,0,3812000000,5293000000,2186459000000,0,130949000000,2055510000000,0,2014,49990000000
000001,0,4788000000,4961000000,2507149000000,0,161500000000,2345649000000,0,2015,61454000000
000001,,8316000000,4771000000,2953434000000,,202171000000,2751263000000,,2016,74924000000
000001,,8036000000,4701000000,3248474000000,,222054000000,3026420000000,,2017,90442000000
000001,,10899000000,4771000000,3418592000000,,240042000000,3178550000000,,2018,105818000000
000001,,11092000000,4361000000,3939070000000,,312983000000,3626087000000,,2019,124151000000
000002,20057921836.24,1612257202.22,426846899.52,378801615075.37,362773737335.37,82138194988.1,296663420087.27,259833566711.09,2012,43705149949.16
000002,34815317241.41,2129767863.36,430074183.12,479205323490.54,442046585199.61,105439423398.63,373765900091.91,328921832209.92,2013,56842298584.32001
000002,48924463696.78,2308351663.13,877547482.32,508408755415.65,464805697453.18,115893616919.97,392515138495.68,345654030971.64,2014,68071615472.23
000002,75485642961.23,4917479160.88,1044991088.26,611295567689.29,547024375866.34,136309617321.02,474985950368.27,420061826880.58,2015,80666620821.5
000002,105435004894.59,6810793073.58,1260363652.26,830674213924.14,721295427853.28,161676571281,668997642643.14,579998485463.07,2016,93741037637.34
000002,163249765907.66,7098808083.4,1437504847.54,1165346917804.55,1017552832148.3,186673939158.29,978672978646.26,847355429875.81,2017,113071922438.91
000002,244324142938.75,11533798650.31,4952584999.04,1528579356474.81,1295071856292.37,235620729997.58,1292958626477.23,1121913936785.61,2018,139118096789.2
000002,235465007349.8,12399838267.28,5269647193.3,1729929450401.23,1438989354552.98,270579115412.96,1459350334988.27,1272610284010.69,2019,166178291029.45
000004,2820910.16,46524222.01,10620297.79,192913568.86,133080060,148055837.92,44857730.94,44057730.94,2012,-7133582.18
000004,26936417.21,41083566.4,12243287.52,242152079.61,174264481.05,144506815.2,97645264.41,74845264.41,2013,-8166959.140000001
000004,18639479.88,37821203.94,21181935.66,338282581.12,264071607.4,157384459.35,180898121.77,150098121.77,2014,-4365585.3999999985
000004,16456047.2,37782699.4,32331232.56,398673507.14,326529112.96,163295984.7,235377522.44,204577522.44,2015,-3118467.1099999994
000004,24129799.93,33465285.58,24388895.61,223716293.01,134232376.11,178199802.08,45516490.93,36700970.53,2016,36180842.95
000004,10650909.51,31220863.8,23747065.01,268844295.64,145429822.52,184092043.49,84752252.15,70290412.41,2017,44747563.6
000004,922869.52,990258.43,,351177470.17,301566235.23,183326601.73,167850868.44,167050868.44,2018,24476779.82
